age,workclass,fnlwgt,education,martial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
60s,Private,4.0,Some-college,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,16.0,HS-grad,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,60.0,unknown,less-than-50K
20s,Private,7.0,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,50.0,Dominican-Republic,less-than-50K
20s,Private,6.0,HS-grad,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,48.0,South-Africa,less-than-50K
30s,Private,13.0,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,30.0,United-States,less-than-50K
50s,Self-emp-inc,5.0,Bachelors,Widowed,Sales,Unmarried,White,Male,0.0,0.0,65.0,United-States,more-than-50K
30s,Private,8.0,7th-8th,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Local-gov,8.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,19.0,50.0,United-States,more-than-50K
20s,unknown,6.0,Bachelors,Never-married,unknown,Own-child,Other,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,14.0,10th,Widowed,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,4.0,HS-grad,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,18.0,United-States,less-than-50K
30s,Private,2.0,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
80s,unknown,1.0,7th-8th,Widowed,unknown,Not-in-family,White,Male,0.0,0.0,5.0,United-States,less-than-50K
40s,Private,9.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,24.0,55.0,United-States,more-than-50K
70s,Federal-gov,9.0,HS-grad,Widowed,Other-service,Not-in-family,White,Male,0.0,0.0,17.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,35.0,United-States,less-than-50K
30s,Private,9.0,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,55.0,Greece,less-than-50K
30s,Private,1.0,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
50s,Private,8.0,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,more-than-50K
30s,Private,11.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
50s,Private,14.0,11th,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Self-emp-inc,5.0,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,70.0,United-States,more-than-50K
50s,Local-gov,6.0,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0.0,20.0,45.0,United-States,less-than-50K
20s,Self-emp-not-inc,5.0,Some-college,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,35.0,United-States,less-than-50K
40s,Private,12.0,Bachelors,Divorced,Adm-clerical,Not-in-family,Black,Male,0.0,0.0,65.0,United-States,less-than-50K
50s,Self-emp-not-inc,11.0,Prof-school,Married-civ-spouse,Sales,Wife,White,Female,15.0,0.0,35.0,United-States,more-than-50K
40s,Self-emp-not-inc,7.0,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,19.0,80.0,United-States,more-than-50K
50s,Local-gov,15.0,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,6.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,3.0,0.0,40.0,United-States,less-than-50K
30s,unknown,2.0,HS-grad,Never-married,unknown,Own-child,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,10.0,7th-8th,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,48.0,United-States,less-than-50K
40s,Private,8.0,Bachelors,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0.0,0.0,35.0,United-States,more-than-50K
50s,unknown,6.0,Some-college,Married-civ-spouse,unknown,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
50s,Self-emp-not-inc,11.0,1st-4th,Separated,Exec-managerial,Not-in-family,White,Male,0.0,0.0,25.0,unknown,less-than-50K
50s,Private,7.0,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,11.0,HS-grad,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,35.0,United-States,less-than-50K
30s,Self-emp-not-inc,18.0,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,United-States,less-than-50K
40s,Private,7.0,HS-grad,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,Poland,less-than-50K
30s,Private,21.0,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
40s,Private,10.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0.0,0.0,40.0,Puerto-Rico,less-than-50K
teens(10-20),unknown,5.0,Some-college,Never-married,unknown,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines,less-than-50K
30s,Private,2.0,Some-college,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,11.0,Some-college,Separated,Other-service,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,20.0,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,10.0,9th,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,48.0,Mexico,less-than-50K
40s,Local-gov,7.0,Bachelors,Separated,Prof-specialty,Unmarried,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,11.0,Some-college,Married-civ-spouse,Sales,Husband,White,Male,3.0,0.0,40.0,United-States,more-than-50K
20s,Private,9.0,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,55.0,United-States,less-than-50K
60s,Self-emp-inc,6.0,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.0,0.0,40.0,unknown,more-than-50K
40s,Self-emp-inc,13.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
30s,Private,13.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,18.0,50.0,United-States,more-than-50K
40s,State-gov,10.0,11th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,7.0,Some-college,Never-married,Sales,Own-child,Black,Female,0.0,0.0,20.0,United-States,less-than-50K
40s,Local-gov,7.0,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,4.0,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,55.0,United-States,less-than-50K
40s,Self-emp-not-inc,10.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,unknown,5.0,Assoc-voc,Divorced,unknown,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,9.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,unknown,more-than-50K
30s,Private,10.0,HS-grad,Divorced,Craft-repair,Own-child,White,Male,0.0,16.0,50.0,United-States,less-than-50K
teens(10-20),Private,20.0,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,9.0,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,5.0,0.0,38.0,United-States,less-than-50K
30s,Private,11.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,18.0,40.0,Peru,more-than-50K
20s,Private,5.0,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Self-emp-not-inc,9.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,11.0,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,43.0,United-States,less-than-50K
30s,Self-emp-inc,8.0,Assoc-acdm,Separated,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,8.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,more-than-50K
30s,Private,9.0,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,14.0,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,20.0,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,more-than-50K
20s,unknown,11.0,HS-grad,Married-civ-spouse,unknown,Wife,Black,Female,0.0,0.0,30.0,United-States,less-than-50K
70s,Private,6.0,10th,Widowed,Other-service,Not-in-family,White,Female,0.0,0.0,10.0,United-States,less-than-50K
30s,Federal-gov,4.0,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,6.0,10th,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,11.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
50s,Local-gov,15.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7.0,0.0,40.0,United-States,more-than-50K
50s,Private,12.0,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,46.0,United-States,less-than-50K
30s,Local-gov,11.0,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,9.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Federal-gov,1.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,Private,9.0,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,19.0,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,48.0,United-States,less-than-50K
30s,Local-gov,22.0,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,50.0,Mexico,more-than-50K
40s,Private,1.0,Some-college,Never-married,Farming-fishing,Other-relative,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,14.0,HS-grad,Separated,Other-service,Other-relative,White,Female,0.0,0.0,25.0,United-States,less-than-50K
20s,Private,9.0,Prof-school,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,19.0,HS-grad,Never-married,Other-service,Own-child,White,Male,0.0,0.0,20.0,United-States,less-than-50K
20s,Private,22.0,5th-6th,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,25.0,Mexico,less-than-50K
30s,Self-emp-inc,4.0,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,72.0,United-States,less-than-50K
30s,State-gov,7.0,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,12.0,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Cuba,less-than-50K
30s,Private,4.0,11th,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,more-than-50K
70s,unknown,1.0,7th-8th,Married-civ-spouse,unknown,Husband,White,Male,0.0,0.0,2.0,United-States,less-than-50K
60s,Private,9.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
30s,Self-emp-not-inc,3.0,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,11.0,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,2.0,Some-college,Never-married,Tech-support,Not-in-family,White,Female,0.0,0.0,60.0,United-States,less-than-50K
20s,Private,2.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
70s,unknown,1.0,HS-grad,Married-civ-spouse,unknown,Husband,White,Male,0.0,0.0,40.0,Canada,more-than-50K
20s,Private,10.0,Some-college,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,40.0,United-States,less-than-50K
teens(10-20),Private,2.0,Some-college,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,28.0,United-States,less-than-50K
30s,Private,9.0,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,41.0,United-States,less-than-50K
50s,Private,10.0,11th,Divorced,Craft-repair,Other-relative,White,Female,0.0,0.0,40.0,United-States,less-than-50K
60s,Private,4.0,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,3.0,United-States,less-than-50K
40s,Private,33.0,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,El-Salvador,less-than-50K
30s,Private,8.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,45.0,United-States,less-than-50K
50s,Self-emp-not-inc,19.0,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,30.0,United-States,less-than-50K
20s,Private,12.0,Some-college,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,44.0,United-States,less-than-50K
50s,Private,5.0,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,16.0,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,17.0,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,8.0,Some-college,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,35.0,United-States,less-than-50K
50s,Private,7.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
20s,Private,3.0,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,55.0,United-States,less-than-50K
20s,Private,11.0,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,38.0,United-States,less-than-50K
40s,Private,8.0,11th,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
60s,Private,3.0,12th,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,30.0,United-States,less-than-50K
40s,Local-gov,12.0,Some-college,Never-married,Protective-serv,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Federal-gov,17.0,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,7.0,0.0,40.0,Guatemala,more-than-50K
20s,Private,7.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States,less-than-50K
20s,Private,6.0,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,15.0,40.0,United-States,less-than-50K
40s,Private,9.0,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,9.0,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
30s,Private,20.0,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
40s,Private,5.0,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,42.0,United-States,less-than-50K
50s,Private,14.0,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,8.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,2.0,Some-college,Divorced,Farming-fishing,Not-in-family,White,Female,0.0,15.0,54.0,United-States,less-than-50K
60s,Private,5.0,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,16.0,United-States,less-than-50K
40s,Private,12.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,more-than-50K
50s,Private,5.0,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,unknown,17.0,12th,Never-married,unknown,Not-in-family,White,Male,0.0,0.0,35.0,United-States,less-than-50K
20s,Private,8.0,HS-grad,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,0.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,11.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,10.0,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,9.0,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,13.0,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,United-States,more-than-50K
40s,Private,14.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
70s,unknown,7.0,HS-grad,Widowed,unknown,Not-in-family,Black,Female,0.0,0.0,30.0,United-States,less-than-50K
30s,Private,4.0,HS-grad,Widowed,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,10.0,HS-grad,Separated,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Local-gov,13.0,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,62.0,United-States,less-than-50K
40s,Private,9.0,HS-grad,Separated,Other-service,Unmarried,White,Female,0.0,0.0,47.0,United-States,less-than-50K
40s,Self-emp-inc,6.0,Assoc-voc,Married-civ-spouse,Sales,Husband,Other,Male,0.0,21.0,84.0,Mexico,less-than-50K
20s,Private,9.0,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,26.0,United-States,less-than-50K
40s,Private,6.0,11th,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,2.0,Assoc-voc,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,12.0,5th-6th,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
30s,Private,5.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Germany,less-than-50K
30s,Private,8.0,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,18.0,HS-grad,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Male,0.0,0.0,40.0,Mexico,less-than-50K
30s,unknown,4.0,Some-college,Never-married,unknown,Not-in-family,White,Female,0.0,17.0,25.0,United-States,less-than-50K
30s,Private,9.0,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,9.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,7.0,0.0,45.0,United-States,more-than-50K
20s,Private,12.0,11th,Never-married,Handlers-cleaners,Unmarried,White,Male,0.0,0.0,20.0,United-States,less-than-50K
20s,Private,7.0,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,6.0,Assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Never-married,Adm-clerical,Own-child,White,Female,3.0,0.0,52.0,Dominican-Republic,less-than-50K
40s,Private,15.0,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,5.0,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,Self-emp-inc,2.0,Bachelors,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,12.0,11th,Never-married,Priv-house-serv,Other-relative,White,Female,0.0,0.0,40.0,Mexico,less-than-50K
20s,Private,6.0,10th,Never-married,Other-service,Own-child,Black,Female,0.0,0.0,32.0,United-States,less-than-50K
30s,Private,14.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,9.0,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,25.0,United-States,less-than-50K
50s,Private,6.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,1.0,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,4.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,5.0,0.0,50.0,United-States,less-than-50K
40s,Self-emp-not-inc,11.0,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,99.0,0.0,70.0,United-States,more-than-50K
60s,Private,7.0,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,17.0,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,less-than-50K
20s,unknown,11.0,Some-college,Never-married,unknown,Own-child,White,Male,0.0,0.0,35.0,United-States,less-than-50K
20s,Private,1.0,HS-grad,Separated,Other-service,Own-child,White,Female,0.0,0.0,35.0,United-States,less-than-50K
40s,Private,17.0,HS-grad,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,9.0,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
20s,Private,15.0,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,54.0,United-States,less-than-50K
30s,Self-emp-not-inc,23.0,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,50.0,United-States,less-than-50K
30s,Private,4.0,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Self-emp-not-inc,10.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States,less-than-50K
30s,Private,8.0,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,10.0,9th,Never-married,Machine-op-inspct,Unmarried,Other,Male,0.0,0.0,40.0,Mexico,less-than-50K
30s,Private,2.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,Self-emp-not-inc,2.0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
40s,Private,16.0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,7.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,15.0,0.0,40.0,United-States,more-than-50K
40s,Private,13.0,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,10.0,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,3.0,0.0,40.0,Columbia,less-than-50K
50s,unknown,8.0,HS-grad,Married-spouse-absent,unknown,Not-in-family,White,Male,0.0,0.0,20.0,United-States,more-than-50K
40s,Self-emp-not-inc,1.0,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,Private,14.0,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,15.0,0.0,60.0,Iran,more-than-50K
40s,Private,10.0,Doctorate,Widowed,Prof-specialty,Unmarried,White,Male,15.0,0.0,40.0,Iran,more-than-50K
20s,Private,18.0,Some-college,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,less-than-50K
40s,Private,17.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
30s,Private,8.0,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,45.0,United-States,less-than-50K
teens(10-20),Private,4.0,HS-grad,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,United-States,less-than-50K
60s,Self-emp-inc,7.0,Prof-school,Separated,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,more-than-50K
50s,State-gov,9.0,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Federal-gov,2.0,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,8.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
50s,Private,18.0,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,60.0,United-States,less-than-50K
30s,Self-emp-not-inc,8.0,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,3.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
60s,unknown,9.0,HS-grad,Married-civ-spouse,unknown,Husband,Black,Male,0.0,0.0,18.0,United-States,less-than-50K
20s,Private,1.0,11th,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,12.0,5th-6th,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,Mexico,less-than-50K
40s,Local-gov,6.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,9.0,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,5.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
20s,Private,8.0,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,more-than-50K
40s,Private,29.0,9th,Separated,Handlers-cleaners,Unmarried,Black,Female,0.0,0.0,50.0,United-States,less-than-50K
40s,Federal-gov,6.0,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
30s,Private,8.0,Some-college,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,30.0,United-States,less-than-50K
40s,Private,9.0,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2.0,0.0,40.0,United-States,less-than-50K
