checking-account-status,duration-months,credit-history,purpose,credit-amount,saving-account-status,employment-status,disposable-income-percent,sex,other-debts,current-residence-time,property-type,age,installment-plans,housing,num-credit-lines,job-type,num-dependents,telephone,foreigner,label
no-account,10.0,existing-credit-paid-on-time,radio-television,1924.0,<100DM,1-4yr,1.0,male,none,4.0,insurance,38.0,none,own,1.0,low-skill-employed,1.0,yes,no,not-risky
200+DM,36.0,existing-credit-paid-on-time,radio-television,5848.0,<100DM,1-4yr,4.0,male,none,1.0,car,24.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,critical-accounts,used-car,7758.0,1000+DM,7+yr,2.0,female,none,4.0,unknown,29.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,day-in-paying-credit,buisness,6967.0,100-500DM,4-7yr,4.0,male,none,4.0,car,36.0,none,rent,1.0,high-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,furniture,1282.0,<100DM,1-4yr,2.0,female,none,4.0,car,20.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,9.0,critical-accounts,repairs,1288.0,100-500DM,7+yr,3.0,male,guarantor,4.0,real-estate,48.0,none,own,2.0,low-skill-employed,2.0,none,no,not-risky
owe-money,12.0,cur-ank-all-credit-paid-on-time,retraining,339.0,<100DM,7+yr,4.0,male,none,1.0,car,45.0,bank,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,new-car,3512.0,100-500DM,4-7yr,2.0,male,none,3.0,car,38.0,bank,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,6.0,critical-accounts,radio-television,1898.0,unknown-nosavings,1-4yr,1.0,male,none,2.0,real-estate,34.0,none,own,2.0,unemployed(resident),2.0,none,yes,not-risky
no-account,24.0,critical-accounts,radio-television,2872.0,100-500DM,7+yr,3.0,male,none,4.0,real-estate,36.0,none,own,1.0,low-skill-employed,2.0,yes,yes,not-risky
no-account,18.0,critical-accounts,new-car,1055.0,<100DM,<1yr,4.0,female,none,1.0,insurance,30.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,15.0,existing-credit-paid-on-time,domestic-appliance,1262.0,500-1000DM,4-7yr,4.0,male,none,3.0,insurance,36.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,10.0,existing-credit-paid-on-time,new-car,7308.0,<100DM,unemployed,2.0,male,none,4.0,unknown,70.0,bank,free,1.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,new-car,909.0,500-1000DM,7+yr,4.0,male,none,4.0,insurance,36.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,furniture,2978.0,500-1000DM,1-4yr,1.0,male,none,2.0,car,32.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,18.0,existing-credit-paid-on-time,furniture,1131.0,<100DM,unemployed,4.0,female,none,2.0,car,33.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,11.0,existing-credit-paid-on-time,furniture,1577.0,1000+DM,<1yr,4.0,female,none,1.0,real-estate,20.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,furniture,3972.0,<100DM,4-7yr,2.0,female,none,4.0,insurance,25.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,24.0,critical-accounts,buisness,1935.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,31.0,none,own,2.0,low-skill-employed,1.0,yes,yes,risky
owe-money,15.0,all-credit-paid-on-time,new-car,950.0,<100DM,7+yr,4.0,male,none,3.0,car,33.0,none,rent,2.0,low-skill-employed,2.0,none,yes,risky
no-account,12.0,existing-credit-paid-on-time,furniture,763.0,<100DM,1-4yr,4.0,female,none,1.0,real-estate,26.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,24.0,day-in-paying-credit,furniture,2064.0,<100DM,unemployed,3.0,female,none,2.0,insurance,34.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
0-200DM,8.0,existing-credit-paid-on-time,radio-television,1414.0,<100DM,1-4yr,4.0,male,guarantor,2.0,real-estate,33.0,none,own,1.0,low-skill-employed,1.0,none,no,not-risky
owe-money,21.0,day-in-paying-credit,education,3414.0,<100DM,<1yr,2.0,male,none,1.0,insurance,26.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
no-account,30.0,cur-ank-all-credit-paid-on-time,used-car,7485.0,unknown-nosavings,unemployed,4.0,female,none,1.0,real-estate,53.0,bank,own,1.0,high-skill-employed,1.0,yes,yes,risky
owe-money,12.0,existing-credit-paid-on-time,furniture,2577.0,<100DM,1-4yr,2.0,male,none,1.0,car,42.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,6.0,critical-accounts,radio-television,338.0,500-1000DM,7+yr,4.0,male,none,4.0,car,52.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,1963.0,<100DM,4-7yr,4.0,male,none,2.0,car,31.0,none,rent,2.0,high-skill-employed,2.0,yes,yes,not-risky
owe-money,21.0,critical-accounts,new-car,571.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,65.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,36.0,day-in-paying-credit,buisness,9572.0,<100DM,<1yr,1.0,male,none,1.0,car,28.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
0-200DM,36.0,day-in-paying-credit,buisness,4455.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,30.0,stores,own,2.0,high-skill-employed,1.0,yes,yes,risky
owe-money,21.0,cur-ank-all-credit-paid-on-time,new-car,1647.0,unknown-nosavings,1-4yr,4.0,male,none,2.0,insurance,40.0,none,own,2.0,unemployed(resident),2.0,none,yes,risky
no-account,24.0,critical-accounts,furniture,3777.0,1000+DM,1-4yr,4.0,male,none,4.0,real-estate,50.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,critical-accounts,new-car,884.0,<100DM,7+yr,4.0,male,none,4.0,car,36.0,bank,own,1.0,low-skill-employed,2.0,yes,yes,risky
no-account,15.0,critical-accounts,radio-television,1360.0,<100DM,1-4yr,4.0,male,none,2.0,insurance,31.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,9.0,cur-ank-all-credit-paid-on-time,used-car,5129.0,<100DM,7+yr,2.0,female,none,4.0,unknown,74.0,bank,free,1.0,high-skill-employed,2.0,yes,yes,risky
0-200DM,16.0,critical-accounts,new-car,1175.0,<100DM,unemployed,2.0,male,none,3.0,car,68.0,none,free,3.0,unemployed(non-resident),1.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,radio-television,674.0,100-500DM,4-7yr,4.0,male,none,1.0,insurance,20.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,18.0,all-credit-paid-on-time,furniture,3244.0,<100DM,1-4yr,1.0,female,none,4.0,car,33.0,bank,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,buisness,4591.0,1000+DM,1-4yr,2.0,male,none,3.0,insurance,54.0,none,own,3.0,high-skill-employed,1.0,yes,yes,risky
0-200DM,48.0,all-credit-paid-on-time,buisness,3844.0,100-500DM,4-7yr,4.0,male,none,4.0,unknown,34.0,none,free,1.0,unemployed(resident),2.0,none,yes,risky
0-200DM,27.0,existing-credit-paid-on-time,buisness,3915.0,<100DM,1-4yr,4.0,male,none,2.0,car,36.0,none,own,1.0,low-skill-employed,2.0,yes,yes,risky
no-account,6.0,existing-credit-paid-on-time,radio-television,2108.0,<100DM,4-7yr,2.0,male,none,2.0,real-estate,29.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,45.0,existing-credit-paid-on-time,radio-television,3031.0,100-500DM,1-4yr,4.0,male,guarantor,4.0,insurance,21.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,9.0,critical-accounts,education,1501.0,<100DM,7+yr,2.0,female,none,3.0,car,34.0,none,own,2.0,high-skill-employed,1.0,yes,yes,risky
no-account,6.0,critical-accounts,radio-television,1382.0,<100DM,1-4yr,1.0,female,none,1.0,car,28.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,furniture,951.0,100-500DM,<1yr,4.0,female,none,4.0,car,27.0,bank,rent,4.0,low-skill-employed,1.0,none,yes,risky
0-200DM,24.0,existing-credit-paid-on-time,used-car,2760.0,unknown-nosavings,7+yr,4.0,male,none,4.0,unknown,36.0,bank,free,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,18.0,day-in-paying-credit,furniture,4297.0,<100DM,7+yr,4.0,male,none,3.0,unknown,40.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,9.0,critical-accounts,education,936.0,500-1000DM,7+yr,4.0,male,none,2.0,car,52.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,new-car,1168.0,<100DM,1-4yr,4.0,male,none,3.0,real-estate,27.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,27.0,day-in-paying-credit,buisness,5117.0,<100DM,4-7yr,3.0,male,none,4.0,car,26.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,retraining,902.0,<100DM,4-7yr,4.0,male,none,4.0,insurance,21.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
no-account,12.0,critical-accounts,new-car,1495.0,<100DM,7+yr,4.0,male,none,1.0,real-estate,38.0,none,own,2.0,unemployed(resident),2.0,none,yes,not-risky
owe-money,30.0,critical-accounts,used-car,10623.0,<100DM,7+yr,3.0,male,none,4.0,unknown,38.0,none,free,3.0,high-skill-employed,2.0,yes,yes,not-risky
no-account,12.0,critical-accounts,furniture,1935.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,43.0,none,own,3.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,critical-accounts,domestic-appliance,1424.0,<100DM,4-7yr,4.0,male,none,3.0,insurance,26.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,buisness,6568.0,<100DM,1-4yr,2.0,male,none,2.0,car,21.0,stores,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,used-car,1413.0,1000+DM,4-7yr,3.0,male,none,2.0,insurance,55.0,none,own,1.0,low-skill-employed,1.0,none,no,not-risky
no-account,9.0,critical-accounts,radio-television,3074.0,unknown-nosavings,1-4yr,1.0,male,none,2.0,real-estate,33.0,none,own,2.0,low-skill-employed,2.0,none,yes,not-risky
no-account,36.0,existing-credit-paid-on-time,radio-television,3835.0,unknown-nosavings,7+yr,2.0,female,none,4.0,real-estate,45.0,none,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
owe-money,27.0,all-credit-paid-on-time,buisness,5293.0,<100DM,unemployed,2.0,male,none,4.0,insurance,50.0,stores,own,2.0,low-skill-employed,1.0,yes,yes,risky
200+DM,30.0,day-in-paying-credit,buisness,1908.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,66.0,none,own,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,36.0,critical-accounts,radio-television,3342.0,unknown-nosavings,7+yr,4.0,male,none,2.0,car,51.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,6.0,critical-accounts,retraining,932.0,unknown-nosavings,4-7yr,1.0,female,none,3.0,insurance,39.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,18.0,all-credit-paid-on-time,buisness,3104.0,<100DM,4-7yr,3.0,male,none,1.0,insurance,31.0,bank,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
200+DM,36.0,existing-credit-paid-on-time,radio-television,3913.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,23.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,furniture,3021.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,24.0,none,rent,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,10.0,existing-credit-paid-on-time,new-car,1364.0,<100DM,1-4yr,2.0,female,none,4.0,car,64.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,625.0,<100DM,<1yr,4.0,male,guarantor,1.0,real-estate,26.0,bank,own,1.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,education,1200.0,unknown-nosavings,1-4yr,4.0,female,none,4.0,insurance,23.0,bank,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,707.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,30.0,bank,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,day-in-paying-credit,buisness,2978.0,unknown-nosavings,1-4yr,4.0,male,none,4.0,real-estate,32.0,none,own,2.0,low-skill-employed,2.0,yes,yes,not-risky
no-account,15.0,existing-credit-paid-on-time,used-car,4657.0,<100DM,1-4yr,3.0,male,none,2.0,car,30.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,36.0,all-credit-paid-on-time,repairs,2613.0,<100DM,1-4yr,4.0,male,none,2.0,car,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,48.0,existing-credit-paid-on-time,radio-television,10961.0,1000+DM,4-7yr,1.0,male,co-applicant,2.0,unknown,27.0,bank,own,2.0,low-skill-employed,1.0,yes,yes,risky
owe-money,12.0,existing-credit-paid-on-time,furniture,7865.0,<100DM,7+yr,4.0,male,none,4.0,unknown,53.0,none,free,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,9.0,existing-credit-paid-on-time,radio-television,1478.0,<100DM,4-7yr,4.0,male,none,2.0,car,22.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,24.0,existing-credit-paid-on-time,furniture,3149.0,<100DM,<1yr,4.0,male,none,1.0,unknown,22.0,bank,free,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,36.0,existing-credit-paid-on-time,radio-television,4210.0,<100DM,1-4yr,4.0,male,none,2.0,car,26.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,9.0,existing-credit-paid-on-time,new-car,2507.0,500-1000DM,7+yr,2.0,male,none,4.0,unknown,51.0,none,free,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,2141.0,100-500DM,4-7yr,3.0,male,none,1.0,unknown,35.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,18.0,existing-credit-paid-on-time,radio-television,866.0,<100DM,1-4yr,4.0,male,guarantor,2.0,real-estate,25.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,4.0,critical-accounts,radio-television,1544.0,<100DM,4-7yr,2.0,male,none,1.0,real-estate,42.0,none,own,3.0,unemployed(resident),2.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,radio-television,1823.0,<100DM,unemployed,4.0,male,none,2.0,car,30.0,stores,own,1.0,high-skill-employed,2.0,none,yes,risky
0-200DM,6.0,existing-credit-paid-on-time,new-car,14555.0,unknown-nosavings,unemployed,1.0,male,none,2.0,insurance,23.0,none,own,1.0,unemployed(non-resident),1.0,yes,yes,risky
0-200DM,21.0,existing-credit-paid-on-time,buisness,2767.0,100-500DM,7+yr,4.0,male,none,2.0,car,61.0,bank,rent,2.0,unemployed(resident),1.0,none,yes,risky
no-account,12.0,critical-accounts,radio-television,1291.0,<100DM,1-4yr,4.0,female,none,2.0,insurance,35.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,30.0,existing-credit-paid-on-time,radio-television,2522.0,<100DM,7+yr,1.0,male,guarantor,3.0,insurance,39.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,new-car,915.0,unknown-nosavings,7+yr,4.0,female,none,2.0,car,29.0,bank,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,6.0,existing-credit-paid-on-time,radio-television,1595.0,<100DM,4-7yr,3.0,male,none,2.0,insurance,51.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
owe-money,48.0,all-credit-paid-on-time,used-car,4605.0,<100DM,7+yr,3.0,male,none,4.0,unknown,24.0,none,free,2.0,low-skill-employed,2.0,none,yes,risky
no-account,12.0,critical-accounts,buisness,1185.0,<100DM,1-4yr,3.0,female,none,2.0,real-estate,27.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,12.0,cur-ank-all-credit-paid-on-time,retraining,3447.0,500-1000DM,1-4yr,4.0,female,none,3.0,real-estate,35.0,none,own,1.0,unemployed(resident),2.0,none,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,buisness,1258.0,<100DM,4-7yr,4.0,male,none,1.0,real-estate,25.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,radio-television,717.0,<100DM,7+yr,4.0,male,none,4.0,real-estate,52.0,none,own,3.0,low-skill-employed,1.0,none,yes,not-risky
no-account,6.0,all-credit-paid-on-time,new-car,1204.0,100-500DM,1-4yr,4.0,male,none,1.0,unknown,35.0,bank,rent,1.0,low-skill-employed,1.0,none,no,not-risky
200+DM,24.0,existing-credit-paid-on-time,furniture,1925.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,26.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,radio-television,433.0,<100DM,unemployed,3.0,female,co-applicant,4.0,real-estate,22.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,6.0,critical-accounts,new-car,666.0,1000+DM,4-7yr,3.0,female,none,4.0,real-estate,39.0,none,own,2.0,unemployed(resident),1.0,yes,yes,not-risky
200+DM,12.0,existing-credit-paid-on-time,furniture,2251.0,<100DM,1-4yr,1.0,female,none,2.0,car,46.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,30.0,existing-credit-paid-on-time,new-car,2150.0,<100DM,1-4yr,4.0,female,guarantor,2.0,unknown,24.0,bank,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,24.0,day-in-paying-credit,furniture,4151.0,100-500DM,1-4yr,2.0,male,none,3.0,insurance,35.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,9.0,existing-credit-paid-on-time,furniture,2030.0,unknown-nosavings,4-7yr,2.0,male,none,1.0,car,24.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,60.0,day-in-paying-credit,radio-television,7418.0,unknown-nosavings,1-4yr,1.0,male,none,1.0,real-estate,27.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,24.0,critical-accounts,radio-television,2684.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,35.0,none,own,2.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,12.0,cur-ank-all-credit-paid-on-time,radio-television,2149.0,<100DM,1-4yr,4.0,male,none,1.0,unknown,29.0,none,free,1.0,low-skill-employed,1.0,none,yes,risky
no-account,15.0,existing-credit-paid-on-time,used-car,3812.0,100-500DM,<1yr,1.0,female,none,4.0,car,23.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,11.0,critical-accounts,radio-television,1154.0,100-500DM,unemployed,4.0,female,none,4.0,real-estate,57.0,none,own,3.0,unemployed(resident),1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,furniture,1657.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,27.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,radio-television,1603.0,<100DM,7+yr,4.0,female,none,4.0,car,55.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,18.0,critical-accounts,new-car,5302.0,<100DM,7+yr,2.0,male,none,4.0,unknown,36.0,none,free,3.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,critical-accounts,education,2748.0,<100DM,7+yr,2.0,female,none,4.0,unknown,57.0,bank,free,3.0,unemployed(resident),1.0,none,yes,not-risky
no-account,10.0,critical-accounts,new-car,1231.0,<100DM,7+yr,3.0,male,none,4.0,real-estate,32.0,none,own,2.0,unemployed(resident),2.0,none,no,not-risky
0-200DM,15.0,existing-credit-paid-on-time,radio-television,802.0,<100DM,7+yr,4.0,male,none,3.0,car,37.0,none,own,1.0,low-skill-employed,2.0,none,yes,risky
no-account,36.0,critical-accounts,buisness,6304.0,unknown-nosavings,7+yr,4.0,male,none,4.0,real-estate,36.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,radio-television,1533.0,<100DM,<1yr,4.0,female,none,3.0,car,38.0,stores,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,14.0,existing-credit-paid-on-time,new-car,8978.0,<100DM,7+yr,1.0,male,none,4.0,insurance,45.0,none,own,1.0,high-skill-employed,1.0,yes,no,risky
no-account,24.0,existing-credit-paid-on-time,radio-television,999.0,unknown-nosavings,7+yr,4.0,male,none,2.0,car,25.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
no-account,18.0,existing-credit-paid-on-time,new-car,2662.0,unknown-nosavings,4-7yr,4.0,male,none,3.0,insurance,32.0,none,own,1.0,low-skill-employed,1.0,none,no,not-risky
no-account,12.0,critical-accounts,furniture,1402.0,500-1000DM,4-7yr,3.0,female,none,4.0,car,37.0,none,rent,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,48.0,cur-ank-all-credit-paid-on-time,new-car,12169.0,unknown-nosavings,unemployed,4.0,male,co-applicant,4.0,unknown,36.0,none,free,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,48.0,existing-credit-paid-on-time,radio-television,3060.0,<100DM,4-7yr,4.0,male,none,4.0,real-estate,28.0,none,own,2.0,low-skill-employed,1.0,none,yes,risky
owe-money,30.0,existing-credit-paid-on-time,repairs,11998.0,<100DM,<1yr,1.0,male,none,1.0,unknown,34.0,none,own,1.0,unemployed(resident),1.0,yes,yes,risky
no-account,9.0,existing-credit-paid-on-time,radio-television,2697.0,<100DM,1-4yr,1.0,male,none,2.0,real-estate,32.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
no-account,18.0,critical-accounts,radio-television,2404.0,<100DM,1-4yr,2.0,female,none,2.0,car,26.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,12.0,existing-credit-paid-on-time,furniture,1262.0,unknown-nosavings,7+yr,2.0,male,none,4.0,insurance,49.0,none,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,furniture,4611.0,<100DM,<1yr,1.0,female,none,4.0,insurance,32.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,24.0,existing-credit-paid-on-time,radio-television,1901.0,100-500DM,1-4yr,4.0,male,none,4.0,car,29.0,none,rent,1.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,15.0,critical-accounts,used-car,3368.0,1000+DM,7+yr,3.0,male,none,4.0,unknown,23.0,none,rent,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,furniture,1574.0,<100DM,1-4yr,4.0,male,none,2.0,real-estate,50.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
200+DM,18.0,cur-ank-all-credit-paid-on-time,radio-television,1445.0,unknown-nosavings,4-7yr,4.0,male,none,4.0,car,49.0,bank,own,1.0,unemployed(resident),1.0,none,yes,not-risky
no-account,15.0,critical-accounts,furniture,1520.0,unknown-nosavings,7+yr,4.0,male,none,4.0,insurance,63.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,critical-accounts,new-car,3878.0,100-500DM,<1yr,4.0,male,none,2.0,car,37.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,47.0,existing-credit-paid-on-time,new-car,10722.0,<100DM,<1yr,1.0,female,none,1.0,real-estate,35.0,none,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
owe-money,48.0,existing-credit-paid-on-time,used-car,4788.0,<100DM,4-7yr,4.0,male,none,3.0,insurance,26.0,none,own,1.0,low-skill-employed,2.0,none,yes,not-risky
0-200DM,48.0,day-in-paying-credit,others,7582.0,100-500DM,unemployed,2.0,male,none,4.0,unknown,31.0,none,free,1.0,high-skill-employed,1.0,yes,yes,not-risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,1092.0,<100DM,1-4yr,4.0,female,guarantor,4.0,real-estate,49.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,24.0,day-in-paying-credit,radio-television,1024.0,<100DM,<1yr,4.0,male,none,4.0,real-estate,48.0,stores,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,12.0,existing-credit-paid-on-time,buisness,1076.0,<100DM,1-4yr,2.0,male,none,2.0,real-estate,26.0,none,own,1.0,low-skill-employed,1.0,yes,no,not-risky
0-200DM,36.0,existing-credit-paid-on-time,used-car,9398.0,<100DM,<1yr,1.0,male,none,4.0,car,28.0,none,rent,1.0,high-skill-employed,1.0,yes,yes,risky
owe-money,24.0,critical-accounts,used-car,6419.0,<100DM,7+yr,2.0,female,none,4.0,unknown,44.0,none,free,2.0,high-skill-employed,2.0,yes,yes,not-risky
200+DM,42.0,critical-accounts,used-car,4796.0,<100DM,7+yr,4.0,male,none,4.0,unknown,56.0,none,free,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,48.0,critical-accounts,buisness,7629.0,unknown-nosavings,7+yr,4.0,male,none,2.0,car,46.0,bank,own,2.0,high-skill-employed,2.0,none,yes,not-risky
0-200DM,48.0,existing-credit-paid-on-time,furniture,9960.0,<100DM,<1yr,1.0,female,none,2.0,car,26.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
no-account,12.0,existing-credit-paid-on-time,used-car,4675.0,unknown-nosavings,<1yr,1.0,female,none,4.0,car,20.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,10.0,existing-credit-paid-on-time,new-car,1287.0,unknown-nosavings,7+yr,4.0,male,co-applicant,2.0,insurance,45.0,none,own,1.0,unemployed(resident),1.0,none,no,not-risky
no-account,18.0,existing-credit-paid-on-time,furniture,2515.0,<100DM,1-4yr,3.0,male,none,4.0,real-estate,43.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,21.0,critical-accounts,furniture,2745.0,1000+DM,4-7yr,3.0,male,none,2.0,car,32.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
no-account,6.0,existing-credit-paid-on-time,new-car,672.0,<100DM,unemployed,1.0,female,none,4.0,real-estate,54.0,none,own,1.0,unemployed(non-resident),1.0,yes,yes,not-risky
0-200DM,36.0,all-credit-paid-on-time,radio-television,3804.0,<100DM,1-4yr,4.0,female,none,1.0,car,42.0,none,own,1.0,low-skill-employed,1.0,yes,yes,risky
200+DM,24.0,critical-accounts,new-car,1344.0,unknown-nosavings,4-7yr,4.0,male,none,2.0,real-estate,37.0,bank,own,2.0,unemployed(resident),2.0,none,yes,risky
owe-money,10.0,critical-accounts,new-car,1038.0,<100DM,4-7yr,4.0,male,co-applicant,3.0,insurance,49.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
